"","cycle","st_cd_fips","party","total_ads","stations","attack_ad_pct"
"126",2006,"2302","D",413,1652,0
"127",2006,"2403","D",2740,12706,0
"128",2006,"2403","R",14,14,0
"129",2006,"2404","D",25,50,0
"130",2006,"2604","D",321,963,0
"131",2006,"2606","D",4,4,0
"132",2006,"2607","D",112,448,1
"133",2006,"2607","R",690,2154,0.360869565217391
"134",2006,"2609","D",8,16,0
"135",2006,"2609","R",181,669,0.0718232044198895
"136",2006,"2701","D",78,232,0.333333333333333
"137",2006,"2702","D",80,233,0
"138",2006,"2702","R",725,2749,0
"139",2006,"2705","D",295,1619,0
"140",2006,"2706","D",2963,18106,0.532230847114411
"141",2006,"2706","R",3366,17738,0.754307783719548
"142",2006,"2707","R",57,171,0
"143",2006,"2802","D",595,1613,0
"144",2006,"2802","R",3,3,0
"145",2006,"2901","D",20,20,0
"146",2006,"2902","R",130,520,0
"147",2006,"2904","D",94,376,0
"148",2006,"2906","R",398,1854,0.366834170854271
"149",2006,"2907","R",899,2947,0
"150",2006,"2908","D",48,48,1
"151",2006,"2908","R",289,1156,0
"152",2006,"3101","D",509,2545,0.422396856581532
"153",2006,"3101","R",498,1444,0
"154",2006,"3102","R",184,552,0
"155",2006,"3201","D",242,1163,0
"156",2006,"3203","D",2404,12207,0.281198003327787
"157",2006,"3203","R",2729,14140,0.341883473799927
"158",2006,"3301","D",235,235,0
"159",2006,"3301","R",360,360,0
"160",2006,"3302","D",1110,4420,0.335135135135135
"161",2006,"3302","R",809,1021,0.530284301606922
"162",2006,"3407","D",280,1675,0
"163",2006,"3407","R",95,570,1
"164",2006,"3408","R",31,62,0
"165",2006,"3501","D",7332,36473,0.570921985815603
"166",2006,"3501","R",9944,49555,0.590004022526146
"167",2006,"3502","D",396,2772,0
"168",2006,"3502","R",546,3822,0
"169",2006,"3603","D",2,4,0
"170",2006,"3603","R",140,560,0
"171",2006,"3619","D",16,30,1
"172",2006,"3620","D",4275,17654,0.480233918128655
"173",2006,"3620","R",2851,13516,0.64398456681866
"174",2006,"3623","R",776,4424,0.0347938144329897
"175",2006,"3624","D",4648,26574,0.363382099827883
"176",2006,"3624","R",5178,27486,NA
"177",2006,"3625","D",2708,15932,0.285450516986706
"178",2006,"3625","R",2270,15064,0.400440528634361
"179",2006,"3626","D",8811,82539,0.488934286687096
